subdivisionCode,latLng,boundingBox,geojson,perimeter,neighbours
MK-812,"41.8485,21.2972","[41.7313, 41.9661, 21.2154, 21.4635]",,96.94,"MK-109,MK-308,MK-605,MK-801,MK-804,MK-808,MK-809,MK-811,MK-813"
MK-813,"41.8264,21.4121","[41.7038, 41.9473, 21.3375, 21.5948]",,112.17,"MK-101,MK-109,MK-308,MK-801,MK-804,MK-806,MK-807,MK-809,MK-810,MK-811,MK-812"
MK-814,"41.9965,21.431","[41.978, 42.0141, 21.4057, 21.4511]",,15.67,"MK-801,MK-804,MK-808,MK-809,MK-815"
MK-815,"42.0106,21.4385","[41.9987, 42.0226, 21.4267, 21.4511]",,10.48,"MK-803,MK-804,MK-808,MK-814"
MK-816,"42.1458,21.3843","[42.0427, 42.2492, 21.3023, 21.5235]",,91.41,"MK-704,MK-803,MK-804,MK-805,MK-808,MK-811,MK-817"
MK-817,"42.0491,21.4121","[42.0273, 42.0708, 21.3918, 21.4344]",,17.32,"MK-704,MK-803,MK-808,MK-816"
ML-1,"13.8002,-10.2246","[11.8978, 15.7028, -12.2403, -8.132]",,2462.4,"ML-2,ML-3"
ML-10,"20.8583,-3.3982","[16.7344, 25.0011, -6.5719, -0.0214]",,2876.22,"ML-6,ML-7,ML-8"
ML-2,"13.4812,-7.6107","[11.4621, 15.5007, -9.0441, -5.9633]",,2415.97,"ML-1,ML-3,ML-4,ML-BKO"
ML-3,"11.5297,-6.8663","[10.1478, 12.9115, -8.6767, -4.3646]",,2408.89,"ML-1,ML-2,ML-4,ML-BKO"
ML-4,"14.0488,-6.0047","[12.546, 15.553, -7.0889, -3.9551]",,1676.29,"ML-2,ML-3,ML-5,ML-6"
ML-5,"14.5145,-3.6465","[13.1557, 15.8625, -5.664, -0.7448]",,1758.52,"ML-4,ML-6,ML-7"
ML-6,"16.2097,-3.0281","[15.066, 17.3581, -5.6335, -0.456]",,1624.71,"ML-10,ML-4,ML-5,ML-7"
ML-7,"17.0024,-0.0991","[14.9441, 19.039, -1.707, 1.792]",,1449.74,"ML-10,ML-5,ML-6,ML-8,ML-9"
